pickup_date,pickup_hour,pickup_location_id,trips,revenue_total_amount,avg_trip_distance,avg_total_amount
2021-01-28,14,236,356,5146.86,1.737303371,14.45747191
2021-01-21,15,236,346,5742.19,1.934364162,16.595924855
2021-01-20,15,236,345,4747.88,1.555275362,13.761971014
2021-01-28,15,236,344,5129.91,1.726627907,14.91252907
2021-01-29,15,236,334,4815.92,1.54739521,14.418922156
2021-01-22,15,236,328,4831.41,1.653719512,14.729908537
2021-01-21,14,236,322,4731.68,1.727267081,14.694658385
2021-01-13,15,237,320,4531.29,1.70353125,14.16028125
2021-01-27,15,236,319,4561.17,1.700062696,14.298338558
2021-01-06,15,237,317,4495.56,1.784637224,14.181577287
2021-01-21,14,237,316,4258.8,1.463417722,13.47721519
2021-01-27,14,236,312,4396.72,1.659070513,14.092051282
2021-01-19,15,236,307,4379.93,1.623192182,14.266872964
2021-01-26,15,236,304,4318.42,1.607434211,14.205328947
2021-01-20,14,236,302,4336.92,1.805496689,14.360662252
2021-01-28,14,237,301,4315.78,1.724750831,14.338139535
2021-01-19,14,237,298,4083.17,1.584463087,13.701912752
2021-01-14,15,237,298,4234.36,1.775436242,14.209261745
2021-01-27,14,237,293,3882.89,1.479863481,13.2521843
2021-01-28,15,237,292,4169.47,1.730958904,14.279006849
2021-01-06,16,237,289,4276.99,1.687058824,14.799273356
2021-01-20,15,237,288,3966.23,1.633506944,13.771631944
2021-01-22,14,236,287,4128.2,1.678083624,14.383972125
2021-01-21,13,236,285,3971.69,1.696701754,13.935754386
2021-01-13,15,236,284,3947.87,1.624366197,13.900950704
2021-01-19,14,236,284,4028.38,1.635880282,14.18443662
2021-01-29,14,236,284,4010.68,1.618908451,14.122112676
2021-01-12,14,237,283,3866.62,1.526925795,13.662968198
2021-01-25,15,236,281,4068.99,1.801103203,14.480391459
2021-01-13,12,237,281,3763.09,1.627900356,13.391779359
2021-01-28,17,161,280,4610.18,2.069392857,16.464928571
2021-01-13,14,237,277,3812.98,1.706714801,13.765270758
2021-01-28,18,161,277,4699.54,2.374115523,16.965848375
